id_venta|id_cliente|id_producto|id_tiempo|id_empleado|id_sucursal|cantidad_vendida|total_venta|costo_estimado|ganancia
1|52|15|86|17|3|2|14.00|7.61|6.39
2|49|15|79|17|2|2|14.00|7.97|6.03
3|11|24|111|16|2|1|5.00|3.15|1.85
4|54|21|36|17|2|3|18.00|9.50|8.50
5|29|3|92|10|1|1|68.00|37.21|30.79
6|58|18|11|5|1|1|18.00|10.02|7.98
7|10|23|28|3|2|2|9.00|4.92|4.08
8|30|14|8|7|2|2|14.00|9.25|4.75
9|38|23|3|19|2|2|9.00|4.33|4.67
10|23|10|97|13|2|2|32.00|20.14|11.86
11|35|20|115|8|2|1|30.00|16.04|13.96
12|32|1|50|11|3|3|66.00|42.22|23.78
13|47|6|108|15|1|2|30.00|17.60|12.40
14|59|13|76|19|3|1|4.00|1.99|2.01
15|28|5|111|15|1|1|130.00|69.16|60.84
16|21|7|59|11|2|2|20.00|10.71|9.29
17|54|14|33|3|2|1|7.00|4.41|2.59
18|4|12|29|3|3|1|14.00|8.83|5.17
19|16|7|108|1|3|1|10.00|5.28|4.72
20|31|22|15|19|1|2|11.00|6.82|4.18
21|50|12|22|20|3|3|42.00|26.19|15.81
22|50|6|40|4|3|1|15.00|9.99|5.01
23|37|22|117|13|2|3|16.50|8.57|7.93
24|38|23|107|8|1|3|13.50|8.57|4.93
25|55|22|77|4|3|1|5.50|3.02|2.48
26|28|22|48|3|3|3|16.50|9.05|7.45
27|55|14|106|16|1|2|14.00|9.41|4.59
28|41|15|91|5|2|1|7.00|4.39|2.61
29|42|9|79|18|2|2|48.00|27.22|20.78
30|47|19|35|11|1|1|72.00|38.58|33.42
31|29|8|97|15|3|2|16.00|9.82|6.18
32|22|1|64|11|1|2|44.00|22.99|21.01
33|52|9|44|9|3|3|72.00|47.23|24.77
34|36|1|67|7|1|1|22.00|13.73|8.27
35|32|18|98|8|3|2|36.00|21.93|14.07
36|32|15|102|1|1|1|7.00|3.67|3.33
37|45|8|40|19|2|2|16.00|9.45|6.55
38|23|14|96|18|2|1|7.00|4.34|2.66
39|18|10|33|8|1|3|48.00|24.89|23.11
40|8|24|69|6|1|1|5.00|3.14|1.86
41|18|24|76|17|3|1|5.00|3.38|1.62
42|54|7|38|8|2|1|10.00|5.40|4.60
43|46|18|17|9|1|1|18.00|10.63|7.37
44|45|5|82|16|1|1|130.00|77.33|52.67
45|31|16|57|11|1|1|7.00|3.71|3.29
46|56|16|15|3|2|2|14.00|6.93|7.07
47|41|22|7|5|1|2|11.00|7.37|3.63
48|6|8|16|18|2|2|16.00|9.59|6.41
49|40|8|100|17|2|2|16.00|10.59|5.41
50|20|19|55|10|3|2|144.00|70.85|73.15
51|48|4|98|7|3|1|8.00|4.26|3.74
52|6|6|31|6|3|1|15.00|7.67|7.33
53|27|15|89|20|2|1|7.00|3.41|3.59
54|19|23|37|15|1|3|13.50|7.11|6.39
55|17|21|76|7|2|1|6.00|3.53|2.47
56|42|5|117|9|1|1|130.00|63.95|66.05
57|51|10|77|19|2|2|32.00|16.16|15.84
58|45|10|90|13|2|2|32.00|18.82|13.18
59|29|3|77|2|2|3|204.00|111.07|92.93
60|17|1|12|8|3|2|44.00|26.29|17.71
61|2|25|87|9|3|1|2.00|1.27|0.73
62|12|16|67|15|2|1|7.00|4.76|2.24
63|28|21|105|16|1|2|12.00|6.60|5.40
64|22|11|86|4|1|1|26.00|14.62|11.38
65|32|10|85|13|3|1|16.00|9.14|6.86
66|21|9|42|4|2|2|48.00|30.96|17.04
67|1|22|112|18|2|2|11.00|5.40|5.60
68|34|12|80|16|3|2|28.00|17.70|10.30
69|14|9|71|5|2|2|48.00|31.50|16.50
70|32|4|4|20|1|3|24.00|12.28|11.72
71|36|1|71|14|1|1|22.00|14.93|7.07
72|59|4|60|4|3|1|8.00|4.64|3.36
73|46|10|66|9|2|2|32.00|21.63|10.37
74|16|15|71|5|2|1|7.00|4.65|2.35
